Packet,Benchmark,Component,Percentile Rank,# Compatible Public Results,Intervals,ns/day (Average),Microarchitecture,Release Date,Atoms,Market,Natoms*ns/day,vendor_id,Mem Bandwidth. GB/s,Mem Channels,CPU MHz,CPU max MHz,L3 cache,Cache L3. KB,L2 cache,Cache L2. KB,Core(s) per socket,Thread(s) per core,Socket(s),Cores,Threads,wiki FP32,GFLOPS,Base TDP. W,Price.$
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 9754 128-Core,93rd,7,0.7,59.3,Zen 4,Q2'23,19605,Server,1162576.5,AuthenticAMD,921.6,24,2250,3100,512 MiB,524288,256 MiB,262144,128,2,2,256,512,32,18432,720,23800
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9655 96-Core,91st,8,1.7,57.7,Zen 5,Q4'24,19605,Server,1131208.5,AuthenticAMD,576,12,2600,4500,384 MiB,393216,96 MiB,98304,96,2,1,96,192,64,15974.4,400,11805
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 9654 96-Core,91st,11,3.4,57.3,Zen 4,Q4'22,19605,Server,1123366.5,AuthenticAMD,921.6,24,2400,3700,768 MiB (24 instances),786432,192 MiB,196608,96,2,2,192,384,32,14745.6,720,23610
LAMMPS_23Jun2022,Model_20k_Atoms,2 x INTEL XEON PLATINUM 8592+,91st,24,2.1,57.1,Emerald Rapids,Q4'23,19605,Server,1119445.5,GenuineIntel,716.8,16,1900,3900,640 MiB (2 instances),655360,256 MiB,262144,64,2,2,128,256,64,15564.8,700,25834
LAMMPS_23Jun2022,Model_20k_Atoms,AmpereOne 192-Core,88th,17,0.8,54.5,,,19605,,1068472.5,Ampere,332.8,8,3200,3200,64 MiB,65536,384 MiB,393216,192,1,1,192,192,#N/A,#REF!,,
LAMMPS_23Jun2022,Model_20k_Atoms,ARMv8 Neoverse-V2 72-Core,88th,5,5.1,54.5,Neoverse-V2,,19605,,1068472.5,ARM,537.6,12,2800,3519,114 MiB,116736,72 MiB,73728,72,1,1,72,72,#N/A,#REF!,,
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9655P 96-Core,87th,16,2.7,53.9,Zen 5,Q4'24,19605,Server,1056709.5,AuthenticAMD,576,12,2600,4500,384 MiB,393216,96 MiB,98304,96,2,1,96,192,64,15974.4,400,11048
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9575F 64-Core,87th,5,1.5,53.8,Zen 5,Q4'24,19605,Server,1054749,AuthenticAMD,576,12,3300,5000,256 MiB,262144,64 MiB,65536,64,2,1,64,128,64,13516.8,400,11791
LAMMPS_23Jun2022,Model_20k_Atoms,2 x Intel Xeon Max 9480,86th,5,0,51.8,Sapphire Rapids,Q1'23,19605,Server,1015539,GenuineIntel,614.4,16,1900,3500,225 MiB (2 instances),230400,224 MiB,229376,56,2,2,112,224,64,13619.2,700,25960
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9845 160-Core,86th,9,1.6,51.8,Zen 4,Q4'24,19605,Server,1015539,AuthenticAMD,614.4,12,2100,3700,320 MiB,327680,160 MiB,163840,160,2,1,160,320,32,10752,390,15558
LAMMPS_23Jun2022,Model_20k_Atoms,AmpereOne 160-Core,86th,3,0,51.6,,,19605,,1011618,Ampere,332.8,8,2800,2800,64 MiB,65536,320 MiB,327680,160,1,1,160,160,#N/A,#REF!,,
LAMMPS_23Jun2022,Model_20k_Atoms,2 x Intel Xeon Platinum 8490H,85th,7,0,50.5,Sapphire Rapids,Q1'23,19605,Server,990052.5,GenuineIntel,614.4,16,1900,3500,225 MiB (2 instances),230400,240 MiB,245760,60,2,2,120,240,64,14592,700,34000
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9754 128-Core,84th,6,1.6,48.5,Zen 4,Q2'23,19605,Server,950842.5,AuthenticAMD,460.8,12,2250,3100,256 MiB,262144,128 MiB,131072,128,2,1,128,256,32,9216,360,11900
LAMMPS_23Jun2022,Model_20k_Atoms,AmpereOne 128-Core,84th,4,0,48.1,,,19605,,943000.5,Ampere,332.8,8,3400,3400,64 MiB,65536,256 MiB,262144,128,1,1,128,128,#N/A,#REF!,,
LAMMPS_23Jun2022,Model_20k_Atoms,2 x Intel Xeon Platinum 8462Y+,82nd,4,0.6,45.3,Sapphire Rapids,Q1'23,19605,Server,888106.5,GenuineIntel,614.4,16,2800,4100,120 MiB,122880,128 MiB,131072,32,2,2,64,128,64,11468.8,600,11890
LAMMPS_23Jun2022,Model_20k_Atoms,2 x Intel Xeon Platinum 8480+,82nd,6,2.6,44.9,Sapphire Rapids,Q1'23,19605,Server,880264.5,GenuineIntel,614.4,16,2000,3800,210 MiB (1 instance),215040,224 MiB,229376,56,2,2,112,224,64,14336,700,21420
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9684X 96-Core,82nd,6,3.5,44.5,Zen 4,Q2'23,19605,Server,872422.5,AuthenticAMD,460.8,12,2550,3700,1152 MiB,1179648,96 MiB,98304,96,2,1,96,192,32,7833.6,400,14756
LAMMPS_23Jun2022,Model_20k_Atoms,AMD EPYC 9654 96-Core,82nd,5,2.9,43.8,Zen 4,Q4'22,19605,Server,858699,AuthenticAMD,460.8,12,2400,3700,384 MiB,393216,96 MiB,98304,96,2,1,96,192,32,7372.8,360,11805
LAMMPS_23Jun2022,Model_20k_Atoms,2 x Intel Xeon Max 9468,82nd,9,2.6,43.3,Sapphire Rapids,Q1'23,19605,Server,848896.5,GenuineIntel,614.4,16,2100,3500,210 MiB (2 instances),215040,192 MiB,196608,48,2,2,96,192,64,12902.4,700,19800
LAMMPS_23Jun2022,Model_20k_Atoms,AMD Ryzen Threadripper PRO 7995WX 96-Cores,81st,3,0.4,42.2,Zen 4,Q4'23,19605,Workstation,827331,AuthenticAMD,332.8,8,2500,5100,384 MiB,393216,96 MiB,98304,96,2,1,96,192,32,7680,350,9999
LAMMPS_23Jun2022,Model_20k_Atoms,AmpereOne 96-Core,80th,3,0,39.9,,,19605,,782239.5,Ampere,332.8,8,3600,3600,64 MiB,65536,192 MiB,196608,96,1,1,96,96,#N/A,#REF!,,
LAMMPS_23Jun2022,Model_20k_Atoms,INTEL XEON PLATINUM 8592+,79th,7,0,37.4,Emerald Rapids,Q4'23,19605,Server,733227,GenuineIntel,358.4,8,1900,3900,320 MiB,327680,128 MiB,131072,64,2,1,64,128,64,7782.4,350,12917
LAMMPS_23Jun2022,Model_20k_Atoms,2 x AMD EPYC 7773X 64-Core,78th,5,0.3,36.5,Zen 3,Q1'22,19605,Server,715582.5,AuthenticAMD,409.6,16,2200,3500,1536 MiB,1572864,64 MiB,65536,64,2,2,128,256,32,9011.2,560,17600
